"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1537","Edit Profile Test","","Sun Jul 27 19:22:33 CEST 2025","passed","Sun Jul 27 19:22:35 CEST 2025","","NewTest.spec.js","",""
"","31985","Account Creation Test","","Sun Jul 27 19:22:22 CEST 2025","broken","Sun Jul 27 19:22:54 CEST 2025","","TestUsingPOM.spec.js","",""
"","3940","Account Creation Test","","Sun Jul 27 19:22:22 CEST 2025","passed","Sun Jul 27 19:22:25 CEST 2025","","NewTest.spec.js","",""
"","831","Change Password Test","","Sun Jul 27 19:22:35 CEST 2025","failed","Sun Jul 27 19:22:36 CEST 2025","","NewTest.spec.js","",""
"","1","Change Password Test","","Sun Jul 27 19:22:54 CEST 2025","skipped","Sun Jul 27 19:22:54 CEST 2025","","TestUsingPOM.spec.js","",""
"","6045","Registration Test","","Sun Jul 27 19:22:22 CEST 2025","failed","Sun Jul 27 19:22:28 CEST 2025","","RegistrationWithPOM.spec.js","",""
"","0","Edit Profile Test","","Sun Jul 27 19:22:54 CEST 2025","skipped","Sun Jul 27 19:22:54 CEST 2025","","TestUsingPOM.spec.js","",""
"","30460","Registration Test","","Sun Jul 27 19:22:22 CEST 2025","broken","Sun Jul 27 19:22:52 CEST 2025","","RegistrationTest.spec.js","",""
"","4537","Edit Profile Test","","Sun Jul 27 19:22:22 CEST 2025","passed","Sun Jul 27 19:22:26 CEST 2025","","editProfileTest.spec.js","",""
"","4717","Login Test","","Sun Jul 27 19:22:21 CEST 2025","passed","Sun Jul 27 19:22:26 CEST 2025","","LoginTest.spec.js","",""
"","30335","Create Account Test","","Sun Jul 27 19:22:56 CEST 2025","broken","Sun Jul 27 19:23:26 CEST 2025","","RegistrationTest.spec.js","",""
